1491055: ('LOAD_DEREF', 'LOAD_ATTR')
1477859: ('LOAD_CONST', 'STORE_FAST')
1444403: ('LOAD_FAST', 'BUILD_TUPLE')
1441071: ('COMPARE_OP', 'RETURN_VALUE')
1351962: ('FOR_ITER', 'UNPACK_SEQUENCE')
1256858: ('CALL_FUNCTION', 'CALL_FUNCTION')
1101476: ('LOAD_ATTR', 'POP_JUMP_IF_TRUE')
1101439: ('<0>', 'POP_TOP')
1095702: ('LOAD_GLOBAL', 'LOAD_CONST')
1092647: ('CALL_FUNCTION', 'LOAD_CONST')
1067464: ('IS_OP', 'POP_JUMP_IF_TRUE')
992125: ('LOAD_CONST', 'CALL_FUNCTION')
981205: ('LOAD_DEREF', 'LOAD_CONST')
978975: ('STORE_FAST', 'BUILD_LIST')
967021: ('BUILD_TUPLE', 'RETURN_VALUE')
959989: ('LOAD_DEREF', 'LOAD_FAST')
956251: ('JUMP_ABSOLUTE', 'LOAD_FAST')
859044: ('LOAD_METHOD', 'LOAD_CONST')
853271: ('LOAD_ATTR', 'EXTENDED_ARG')
823509: ('COMPARE_OP', 'EXTENDED_ARG')
821861: ('CALL_FUNCTION', 'LOAD_GLOBAL')
816563: ('CALL_FUNCTION', 'LIST_APPEND')
813054: ('POP_TOP', 'LOAD_GLOBAL')
808833: ('LOAD_FAST', 'DELETE_ATTR')
806960: ('POP_JUMP_IF_FALSE', 'LOAD_DEREF')
803584: ('JUMP_IF_TRUE_OR_POP', 'LOAD_FAST')
800206: ('BUILD_TUPLE', 'LOAD_CONST')
798299: ('LOAD_CLOSURE', 'BUILD_TUPLE')
777703: ('LOAD_CONST', 'CALL_METHOD')
745257: ('CALL_FUNCTION', 'CALL_METHOD')
708721: ('UNARY_NOT', 'RETURN_VALUE')
702436: ('LOAD_GLOBAL', 'CALL_METHOD')
678976: ('POP_TOP', 'POP_TOP')
672612: ('POP_JUMP_IF_FALSE', 'JUMP_ABSOLUTE')
668614: ('BINARY_SUBSCR', 'CONTAINS_OP')
655794: ('BINARY_SUBSCR', 'CALL_FUNCTION')
651985: ('LOAD_FAST', 'UNARY_NOT')
644763: ('EXTENDED_ARG', 'POP_JUMP_IF_TRUE')
641633: ('LOAD_METHOD', 'LOAD_DEREF')
641182: ('LOAD_FAST', 'STORE_DEREF')
632227: ('CALL_FUNCTION_KW', 'UNPACK_SEQUENCE')
628102: ('CALL_METHOD', 'CALL_METHOD')
619863: ('CALL_FUNCTION_KW', 'CALL_METHOD')
613945: ('CALL_FUNCTION_KW', 'LOAD_FAST')
613173: ('CALL_FUNCTION', 'POP_TOP')
613123: ('BUILD_MAP', 'LOAD_FAST')
611925: ('SETUP_FINALLY', 'LOAD_FAST')
610881: ('BINARY_SUBSCR', 'CALL_METHOD')
605369: ('UNARY_NOT', 'LOAD_CONST')
604390: ('LOAD_CONST', 'BINARY_ADD')
602642: ('BUILD_LIST', 'CALL_FUNCTION')
600367: ('LOAD_FAST', 'EXTENDED_ARG')
595585: ('DELETE_ATTR', 'LOAD_FAST')
580355: ('LOAD_FAST', 'JUMP_FORWARD')
575367: ('STORE_ATTR', 'JUMP_FORWARD')
573381: ('LOAD_GLOBAL', 'BUILD_TUPLE')
570471: ('STORE_DEREF', 'LOAD_GLOBAL')
563952: ('POP_JUMP_IF_TRUE', 'LOAD_CONST')
551903: ('JUMP_FORWARD', 'LOAD_CONST')
537545: ('BUILD_SLICE', 'BINARY_SUBSCR')
533927: ('LOAD_GLOBAL', 'COMPARE_OP')
531584: ('LOAD_GLOBAL', 'BUILD_LIST')
530596: ('CALL_FUNCTION', 'COMPARE_OP')
519256: ('BUILD_TUPLE', 'CONTAINS_OP')
501580: ('BINARY_SUBSCR', 'LOAD_ATTR')
493711: ('IS_OP', 'EXTENDED_ARG')
492684: ('CALL_FUNCTION_KW', 'STORE_FAST')
484314: ('CONTAINS_OP', 'EXTENDED_ARG')
481707: ('BINARY_SUBSCR', 'GET_ITER')
