1519251: ('LOAD_ATTR', 'POP_JUMP_IF_FALSE')
1443580: ('POP_JUMP_IF_FALSE', 'FOR_ITER')
1415073: ('LOAD_ATTR', 'CALL_METHOD')
1353616: ('LOAD_GLOBAL', 'LOAD_METHOD')
1336925: ('CALL_METHOD', 'RETURN_VALUE')
1322779: ('CALL_FUNCTION_KW', 'RETURN_VALUE')
1314902: ('LOAD_FAST', 'BINARY_SUBTRACT')
1314455: ('BINARY_SUBTRACT', 'STORE_FAST')
1244642: ('LOAD_ATTR', 'EXTENDED_ARG')
954743: ('POP_JUMP_IF_FALSE', 'LOAD_GLOBAL')
856856: ('CALL_METHOD', 'POP_JUMP_IF_FALSE')
835300: ('CALL_FUNCTION_KW', 'LOAD_FAST')
811111: ('CALL_FUNCTION', 'POP_JUMP_IF_TRUE')
810052: ('LOAD_ATTR', 'LOAD_GLOBAL')
808155: ('BUILD_LIST', 'LOAD_FAST')
741686: ('CALL_FUNCTION', 'GET_ITER')
667065: ('CALL_FUNCTION_KW', 'STORE_FAST')
635881: ('BUILD_LIST', 'BUILD_LIST')
629657: ('CALL_METHOD', 'LOAD_CONST')
598500: ('BINARY_SUBSCR', 'BUILD_LIST')
583415: ('LOAD_FAST', 'GET_ITER')
569653: ('POP_TOP', 'JUMP_ABSOLUTE')
562869: ('CALL_FUNCTION', 'EXTENDED_ARG')
554039: ('BINARY_SUBSCR', 'LOAD_GLOBAL')
540318: ('POP_JUMP_IF_FALSE', 'LOAD_CONST')
497825: ('<0>', 'LOAD_CONST')
468800: ('STORE_FAST', 'POP_TOP')
457515: ('JUMP_ABSOLUTE', 'LOAD_GLOBAL')
430869: ('FOR_ITER', 'LOAD_CONST')
419333: ('BINARY_SUBSCR', 'CALL_METHOD')
415249: ('LOAD_CONST', 'CONTAINS_OP')
398440: ('ROT_TWO', 'STORE_ATTR')
398440: ('DUP_TOP', 'LOAD_ATTR')
398330: ('INPLACE_ADD', 'ROT_TWO')
398282: ('LOAD_ATTR', 'DUP_TOP')
398224: ('CALL_METHOD', 'INPLACE_ADD')
387677: ('LOAD_DEREF', 'LOAD_FAST')
378136: ('CALL_FUNCTION', 'POP_TOP')
369659: ('FOR_ITER', 'LOAD_FAST')
363907: ('<0>', 'LOAD_DEREF')
360630: ('BUILD_LIST', 'LOAD_CONST')
354776: ('BUILD_LIST', 'STORE_FAST')
343577: ('LOAD_ATTR', 'BUILD_TUPLE')
332758: ('BUILD_TUPLE', 'CALL_FUNCTION')
