144321: ('LOAD_CONST', 'BINARY_ADD')
140209: ('LOAD_ATTR', 'BUILD_TUPLE')
136998: ('MAKE_FUNCTION', 'LOAD_FAST')
136710: ('COMPARE_OP', 'EXTENDED_ARG')
136457: ('POP_TOP', 'LOAD_CONST')
136104: ('LOAD_FAST', 'BUILD_MAP')
133764: ('LOAD_GLOBAL', 'JUMP_IF_NOT_EXC_MATCH')
132772: ('BINARY_SUBSCR', 'LOAD_FAST')
131507: ('POP_TOP', 'POP_EXCEPT')
131338: ('CALL_FUNCTION_EX', 'STORE_FAST')
129022: ('STORE_FAST', 'JUMP_ABSOLUTE')
124869: ('LOAD_FAST', 'COMPARE_OP')
122235: ('FOR_ITER', 'LOAD_CONST')
119666: ('LOAD_ATTR', 'LOAD_GLOBAL')
118006: ('CALL_METHOD', 'CALL_METHOD')
116442: ('LOAD_CONST', 'BUILD_SLICE')
114120: ('STORE_FAST', 'BUILD_LIST')
113010: ('STORE_ATTR', 'LOAD_GLOBAL')
112505: ('POP_JUMP_IF_TRUE', 'LOAD_GLOBAL')
110745: ('BUILD_TUPLE', 'RETURN_VALUE')
110317: ('BINARY_MULTIPLY', 'CALL_METHOD')
109661: ('LOAD_FAST', 'BINARY_ADD')
107870: ('CALL_METHOD', 'POP_JUMP_IF_TRUE')
104296: ('LOAD_CONST', 'STORE_FAST')
102686: ('CALL_METHOD', 'LOAD_FAST')
101654: ('BINARY_SUBSCR', 'CALL_FUNCTION')
101540: ('LOAD_GLOBAL', 'LOAD_CONST')
100449: ('CALL_FUNCTION', 'POP_JUMP_IF_TRUE')
98843: ('BINARY_SUBSCR', 'LOAD_CONST')
97791: ('BUILD_TUPLE', 'CALL_FUNCTION')
94540: ('IS_OP', 'EXTENDED_ARG')
94319: ('LOAD_CONST', 'CONTAINS_OP')
91720: ('STORE_FAST', 'LOAD_DEREF')
89071: ('CALL_METHOD', 'DUP_TOP')
87480: ('CALL_METHOD', 'POP_JUMP_IF_FALSE')
85568: ('LOAD_CONST', 'DUP_TOP')
84641: ('POP_EXCEPT', 'JUMP_ABSOLUTE')
83286: ('LOAD_FAST', 'STORE_FAST')
75608: ('LOAD_ATTR', 'COMPARE_OP')
74969: ('CALL_FUNCTION_KW', 'STORE_FAST')
71686: ('LOAD_GLOBAL', 'IS_OP')
69399: ('EXTENDED_ARG', 'JUMP_ABSOLUTE')
68964: ('LOAD_GLOBAL', 'CALL_METHOD')
68010: ('POP_JUMP_IF_TRUE', 'FOR_ITER')
67251: ('JUMP_FORWARD', 'LOAD_GLOBAL')
66937: ('BINARY_ADD', 'CALL_METHOD')
66759: ('CALL_METHOD', 'LOAD_METHOD')
66632: ('CALL_FUNCTION', 'LOAD_GLOBAL')
66365: ('STORE_ATTR', 'POP_BLOCK')
64814: ('STORE_FAST', 'JUMP_FORWARD')
63815: ('CONTAINS_OP', 'EXTENDED_ARG')
63455: ('STORE_DEREF', 'LOAD_GLOBAL')
63073: ('POP_JUMP_IF_FALSE', 'SETUP_FINALLY')
62764: ('CALL_FUNCTION_EX', 'RETURN_VALUE')
62094: ('CALL_METHOD', 'STORE_DEREF')
60377: ('CALL_FUNCTION_KW', 'LOAD_FAST')
59792: ('JUMP_FORWARD', 'LOAD_CONST')
58334: ('BUILD_TUPLE', 'BUILD_MAP')
57315: ('BINARY_MULTIPLY', 'LOAD_FAST')
57200: ('CALL_METHOD', 'LOAD_ATTR')
56480: ('CALL_FUNCTION', 'CALL_FUNCTION')
56154: ('BUILD_TUPLE', 'BINARY_MODULO')
54887: ('POP_TOP', 'LOAD_GLOBAL')
54680: ('BUILD_LIST', 'LOAD_FAST')
54578: ('LOAD_ATTR', 'BINARY_SUBSCR')
54198: ('BINARY_MODULO', 'LOAD_FAST')
52997: ('LOAD_FAST', 'EXTENDED_ARG')
52888: ('LOAD_CONST', 'BINARY_FLOOR_DIVIDE')
52684: ('POP_TOP', 'JUMP_FORWARD')
52595: ('CALL_FUNCTION', 'COMPARE_OP')
52561: ('LOAD_FAST', 'POP_JUMP_IF_TRUE')
51760: ('LOAD_GLOBAL', 'BUILD_TUPLE')
50325: ('POP_JUMP_IF_FALSE', 'LOAD_DEREF')
49646: ('DUP_TOP', 'DUP_TOP')
49646: ('DUP_TOP', 'CALL_FUNCTION')
49342: ('BINARY_ADD', 'LOAD_FAST')
49006: ('LOAD_GLOBAL', 'LOAD_DEREF')
48347: ('LOAD_DEREF', 'CALL_FUNCTION')
48008: ('<0>', 'BUILD_LIST')
48000: ('CALL_FUNCTION', 'UNPACK_SEQUENCE')
47942: ('SETUP_WITH', 'POP_TOP')
47315: ('POP_TOP', 'POP_BLOCK')
47231: ('CALL_METHOD', 'UNPACK_SEQUENCE')
46976: ('FOR_ITER', 'RETURN_VALUE')
44375: ('LOAD_FAST', 'UNARY_NEGATIVE')
44063: ('UNARY_NEGATIVE', 'LOAD_CONST')
43576: ('<0>', 'LOAD_DEREF')
43442: ('LOAD_METHOD', 'LOAD_DEREF')
42788: ('BINARY_ADD', 'STORE_FAST')
42779: ('BINARY_SUBSCR', 'RETURN_VALUE')
42415: ('DUP_TOP', 'LOAD_FAST')
42256: ('LOAD_CONST', 'LOAD_DEREF')
42181: ('CALL_FUNCTION', 'LOAD_DEREF')
41953: ('LOAD_ATTR', 'LOAD_DEREF')
41640: ('LOAD_DEREF', 'LOAD_METHOD')
41094: ('LOAD_DEREF', 'COMPARE_OP')
40933: ('STORE_SUBSCR', 'JUMP_ABSOLUTE')
39970: ('CALL_FUNCTION', 'EXTENDED_ARG')
39139: ('POP_BLOCK', 'RETURN_VALUE')
38569: ('POP_BLOCK', 'LOAD_CONST')
37837: ('POP_JUMP_IF_TRUE', 'LOAD_CONST')
36298: ('BUILD_TUPLE', 'LOAD_CONST')
35536: ('LOAD_FAST', 'BUILD_SLICE')
34560: ('STORE_SUBSCR', 'LOAD_FAST')
34236: ('BINARY_ADD', 'BUILD_SLICE')
33996: ('LOAD_ATTR', 'IS_OP')
33761: ('STORE_DEREF', 'LOAD_DEREF')
33576: ('BINARY_SUBSCR', 'LOAD_GLOBAL')
33451: ('BINARY_ADD', 'CALL_FUNCTION')
33298: ('COMPARE_OP', 'POP_JUMP_IF_TRUE')
32905: ('IS_OP', 'POP_JUMP_IF_TRUE')
32134: ('CALL_FUNCTION_KW', 'POP_TOP')
31971: ('CALL_FUNCTION', 'BINARY_SUBTRACT')
31516: ('LOAD_DEREF', 'CALL_METHOD')
31131: ('JUMP_FORWARD', 'EXTENDED_ARG')
30994: ('BINARY_SUBSCR', 'LIST_APPEND')
30674: ('BUILD_TUPLE', 'LOAD_FAST')
30464: ('BINARY_FLOOR_DIVIDE', 'STORE_SUBSCR')
29890: ('CALL_FUNCTION', 'GET_ITER')
29219: ('STORE_NAME', 'LOAD_CONST')
28537: ('POP_EXCEPT', 'LOAD_CONST')
28503: ('LOAD_FAST', 'UNPACK_SEQUENCE')
27290: ('POP_JUMP_IF_FALSE', 'JUMP_ABSOLUTE')
26770: ('LOAD_CLOSURE', 'BUILD_TUPLE')
26538: ('CALL_METHOD', 'YIELD_VALUE')
26450: ('LOAD_FAST', 'BUILD_LIST')
26171: ('LOAD_CONST', 'LOAD_GLOBAL')
26054: ('LOAD_ATTR', 'SETUP_WITH')
24169: ('POP_TOP', 'SETUP_FINALLY')
24152: ('LOAD_ATTR', 'DUP_TOP')
23761: ('CALL_FUNCTION', 'LOAD_METHOD')
23523: ('STORE_ATTR', 'JUMP_FORWARD')
23381: ('EXTENDED_ARG', 'FOR_ITER')
22794: ('LOAD_CONST', 'IMPORT_NAME')
22586: ('LOAD_GLOBAL', 'STORE_FAST')
22578: ('JUMP_FORWARD', 'SETUP_FINALLY')
22494: ('CALL_FUNCTION', 'STORE_DEREF')
22393: ('DUP_TOP', 'STORE_FAST')
22359: ('BINARY_ADD', 'COMPARE_OP')
22358: ('BINARY_FLOOR_DIVIDE', 'COMPARE_OP')
22358: ('LOAD_ATTR', 'BUILD_SLICE')
21887: ('FOR_ITER', 'LOAD_GLOBAL')
21785: ('LOAD_GLOBAL', 'POP_JUMP_IF_FALSE')
21447: ('BINARY_SUBTRACT', 'LOAD_FAST')
21337: ('LOAD_FAST', 'LOAD_DEREF')
21075: ('POP_EXCEPT', 'JUMP_FORWARD')
20952: ('CALL_FUNCTION', 'LOAD_ATTR')
20788: ('CALL_METHOD', 'CALL_FUNCTION')
20476: ('CALL_FUNCTION', 'DUP_TOP')
20423: ('LOAD_CONST', 'STORE_SUBSCR')
20410: ('BINARY_SUBSCR', 'LOAD_METHOD')
20394: ('LOAD_FAST', 'BINARY_SUBTRACT')
20082: ('IMPORT_NAME', 'IMPORT_FROM')
19312: ('LOAD_CLOSURE', 'LOAD_CLOSURE')
18796: ('POP_TOP', 'RETURN_VALUE')
18552: ('BINARY_SUBTRACT', 'CALL_FUNCTION')
18515: ('MAKE_FUNCTION', 'STORE_NAME')
18449: ('JUMP_IF_TRUE_OR_POP', 'LOAD_GLOBAL')
