420002: ('LOAD_ATTR', 'GET_ITER')
407625: ('JUMP_ABSOLUTE', 'LOAD_FAST')
406255: ('LOAD_METHOD', 'LOAD_CONST')
405048: ('CALL_METHOD', 'GET_YIELD_FROM_ITER')
396764: ('<0>', 'YIELD_FROM')
387407: ('STORE_FAST', 'JUMP_ABSOLUTE')
386123: ('STORE_FAST', 'JUMP_FORWARD')
384124: ('BUILD_TUPLE', 'LOAD_CONST')
383068: ('CALL_METHOD', 'LOAD_FAST')
376485: ('LOAD_CLOSURE', 'BUILD_TUPLE')
372105: ('LOAD_FAST', 'CONTAINS_OP')
369214: ('CALL_FUNCTION', 'POP_TOP')
368273: ('CALL_FUNCTION', 'CALL_FUNCTION')
367732: ('LOAD_CONST', 'BINARY_ADD')
367007: ('POP_TOP', 'POP_TOP')
366594: ('STORE_FAST', 'LOAD_CONST')
363260: ('BINARY_ADD', 'LOAD_FAST')
357434: ('LOAD_FAST', 'STORE_FAST')
351022: ('DUP_TOP', 'LOAD_GLOBAL')
327192: ('LOAD_DEREF', 'LOAD_ATTR')
320370: ('LOAD_CONST', 'BINARY_SUBTRACT')
319090: ('JUMP_IF_TRUE_OR_POP', 'LOAD_FAST')
318679: ('INPLACE_ADD', 'STORE_FAST')
317195: ('LOAD_FAST', 'STORE_SUBSCR')
301651: ('LOAD_GLOBAL', 'CONTAINS_OP')
297809: ('CALL_FUNCTION', 'POP_JUMP_IF_TRUE')
297060: ('CALL_FUNCTION', 'LOAD_METHOD')
289657: ('BUILD_LIST', 'STORE_FAST')
286736: ('BUILD_TUPLE', 'BUILD_MAP')
282148: ('STORE_FAST', 'LOAD_DEREF')
281163: ('JUMP_IF_NOT_EXC_MATCH', 'POP_TOP')
280369: ('POP_BLOCK', 'RETURN_VALUE')
280079: ('POP_TOP', 'POP_BLOCK')
278438: ('STORE_ATTR', 'BUILD_MAP')
276854: ('POP_TOP', 'SETUP_FINALLY')
276669: ('CALL_FUNCTION_KW', 'STORE_FAST')
274492: ('BINARY_SUBTRACT', 'BINARY_SUBSCR')
272021: ('POP_JUMP_IF_FALSE', 'SETUP_FINALLY')
269751: ('LOAD_FAST', 'BUILD_LIST')
269454: ('LOAD_CONST', 'GET_YIELD_FROM_ITER')
266908: ('<0>', 'SETUP_FINALLY')
262245: ('CALL_FUNCTION', 'YIELD_VALUE')
262065: ('LOAD_DEREF', 'LOAD_FAST')
252150: ('LOAD_DEREF', 'LOAD_METHOD')
249531: ('STORE_FAST', 'POP_BLOCK')
249094: ('BUILD_TUPLE', 'LOAD_FAST')
240101: ('LOAD_FAST', 'EXTENDED_ARG')
238854: ('LOAD_FAST', 'IS_OP')
236078: ('BINARY_SUBSCR', 'RETURN_VALUE')
235483: ('CALL_METHOD', 'LOAD_METHOD')
230837: ('BUILD_TUPLE', 'CALL_FUNCTION')
229010: ('LOAD_FAST', 'LIST_APPEND')
224960: ('LOAD_CONST', 'INPLACE_ADD')
221359: ('LOAD_ATTR', 'POP_JUMP_IF_TRUE')
220000: ('LOAD_ATTR', 'YIELD_VALUE')
219036: ('CALL_METHOD', 'POP_JUMP_IF_TRUE')
218275: ('JUMP_IF_TRUE_OR_POP', 'BUILD_MAP')
