1510883: ('LOAD_ATTR', 'BUILD_TUPLE')
1492243: ('CALL_FUNCTION', 'LOAD_FAST')
1458926: ('LOAD_CONST', 'STORE_SUBSCR')
1425912: ('LOAD_ATTR', 'POP_JUMP_IF_FALSE')
1411789: ('FOR_ITER', 'RETURN_VALUE')
1398812: ('LOAD_FAST', 'STORE_FAST')
1389818: ('JUMP_FORWARD', 'LOAD_FAST')
1388137: ('LOAD_FAST', 'DICT_MERGE')
1385629: ('POP_BLOCK', 'JUMP_FORWARD')
1362691: ('BINARY_SUBSCR', 'LOAD_FAST')
1355970: ('LOAD_FAST', 'POP_JUMP_IF_TRUE')
1352739: ('POP_EXCEPT', 'LOAD_CONST')
1352425: ('BINARY_SUBSCR', 'LOAD_GLOBAL')
1322092: ('<0>', 'BUILD_LIST')
1317391: ('STORE_FAST', 'JUMP_ABSOLUTE')
1293613: ('FOR_ITER', 'LOAD_CONST')
1246582: ('CALL_METHOD', 'POP_JUMP_IF_FALSE')
1244912: ('FOR_ITER', 'LOAD_FAST')
1244017: ('STORE_SUBSCR', 'LOAD_FAST')
1242821: ('POP_BLOCK', 'RETURN_VALUE')
1223647: ('<0>', 'LOAD_CLOSURE')
1222783: ('LOAD_DEREF', 'CALL_FUNCTION')
1212689: ('STORE_FAST', 'JUMP_FORWARD')
1186963: ('LOAD_CONST', 'BUILD_SLICE')
1166899: ('POP_TOP', 'LOAD_CONST')
1163341: ('<0>', 'LOAD_CONST')
1152617: ('BINARY_AND', 'STORE_FAST')
1146480: ('LOAD_FAST', 'BINARY_AND')
1146380: ('BUILD_SLICE', 'BINARY_SUBSCR')
1145833: ('LOAD_GLOBAL', 'BINARY_LSHIFT')
1145832: ('BINARY_RSHIFT', 'LOAD_FAST')
1145832: ('LOAD_GLOBAL', 'BINARY_RSHIFT')
1111098: ('LOAD_METHOD', 'LOAD_DEREF')
1108703: ('LOAD_FAST', 'BUILD_MAP')
1084794: ('POP_JUMP_IF_FALSE', 'SETUP_FINALLY')
1082948: ('JUMP_FORWARD', 'LOAD_CONST')
1078408: ('LOAD_ATTR', 'CONTAINS_OP')
1043945: ('BINARY_SUBSCR', 'RETURN_VALUE')
1028809: ('FOR_ITER', 'UNPACK_SEQUENCE')
1014200: ('LOAD_FAST', 'JUMP_IF_TRUE_OR_POP')
1005187: ('CALL_FUNCTION', 'LOAD_METHOD')
1005145: ('<0>', 'LOAD_DEREF')
988232: ('CALL_METHOD', 'LOAD_FAST')
978532: ('LOAD_ATTR', 'COMPARE_OP')
973098: ('COMPARE_OP', 'EXTENDED_ARG')
966662: ('JUMP_IF_TRUE_OR_POP', 'LOAD_GLOBAL')
940635: ('CALL_FUNCTION', 'JUMP_IF_FALSE_OR_POP')
940461: ('POP_EXCEPT', 'JUMP_FORWARD')
919887: ('BUILD_TUPLE', 'RETURN_VALUE')
918559: ('MAKE_FUNCTION', 'RETURN_VALUE')
896870: ('LOAD_CONST', 'BUILD_CONST_KEY_MAP')
890124: ('LOAD_CONST', 'STORE_FAST')
859374: ('BINARY_LSHIFT', 'BINARY_ADD')
857726: ('CALL_FUNCTION', 'YIELD_VALUE')
