800601: ('CALL_FUNCTION', 'RETURN_VALUE')
800284: ('FOR_ITER', 'LOAD_FAST')
800234: ('JUMP_IF_NOT_EXC_MATCH', 'POP_TOP')
800232: ('DUP_TOP', 'LOAD_GLOBAL')
800189: ('LOAD_GLOBAL', 'JUMP_IF_NOT_EXC_MATCH')
700044: ('LOAD_CONST', 'LOAD_GLOBAL')
602704: ('LOAD_CONST', 'CALL_FUNCTION')
600894: ('LOAD_GLOBAL', 'LOAD_GLOBAL')
600793: ('LOAD_FAST', 'BINARY_SUBSCR')
600464: ('CALL_FUNCTION', 'POP_JUMP_IF_TRUE')
600398: ('CALL_METHOD', 'LOAD_CONST')
600330: ('JUMP_FORWARD', 'LOAD_CONST')
600249: ('POP_BLOCK', 'LOAD_GLOBAL')
600239: ('BUILD_MAP', 'LOAD_FAST')
500993: ('LOAD_FAST', 'STORE_SUBSCR')
500192: ('POP_JUMP_IF_FALSE', 'JUMP_ABSOLUTE')
500167: ('STORE_ATTR', 'LOAD_GLOBAL')
500110: ('LOAD_FAST', 'BUILD_MAP')
402118: ('EXTENDED_ARG', 'POP_JUMP_IF_FALSE')
401733: ('CALL_FUNCTION', 'POP_JUMP_IF_FALSE')
401409: ('POP_TOP', 'LOAD_GLOBAL')
400556: ('COMPARE_OP', 'POP_JUMP_IF_TRUE')
400411: ('CALL_FUNCTION', 'LOAD_FAST')
400408: ('LOAD_FAST', 'POP_JUMP_IF_TRUE')
400373: ('LOAD_ATTR', 'CALL_FUNCTION')
400246: ('CALL_FUNCTION', 'LOAD_ATTR')
400209: ('LOAD_FAST', 'DICT_MERGE')
400209: ('DICT_MERGE', 'CALL_FUNCTION_EX')
400181: ('LOAD_FAST', 'DELETE_SUBSCR')
400171: ('LOAD_ATTR', 'SETUP_WITH')
400171: ('LOAD_FAST', 'DUP_TOP')
400170: ('ROT_TWO', 'STORE_ATTR')
400170: ('DUP_TOP', 'LOAD_ATTR')
400150: ('POP_EXCEPT', 'JUMP_FORWARD')
400091: ('POP_JUMP_IF_FALSE', 'POP_BLOCK')
400045: ('LOAD_CONST', 'BUILD_TUPLE')
400019: ('CALL_METHOD', 'CALL_FUNCTION')
400001: ('STORE_ATTR', 'JUMP_ABSOLUTE')
300276: ('LOAD_ATTR', 'GET_ITER')
300126: ('LOAD_ATTR', 'LOAD_GLOBAL')
201053: ('CALL_FUNCTION', 'GET_ITER')
200670: ('LOAD_FAST', 'EXTENDED_ARG')
200663: ('POP_JUMP_IF_FALSE', 'SETUP_FINALLY')
200655: ('LOAD_GLOBAL', 'IS_OP')
200514: ('STORE_FAST', 'JUMP_FORWARD')
200480: ('COMPARE_OP', 'EXTENDED_ARG')
200474: ('STORE_ATTR', 'POP_BLOCK')
200412: ('BUILD_TUPLE', 'LOAD_CONST')
200373: ('CALL_METHOD', 'POP_JUMP_IF_FALSE')
200366: ('POP_TOP', 'POP_BLOCK')
200361: ('LOAD_FAST', 'STORE_FAST')
200356: ('LOAD_GLOBAL', 'BUILD_TUPLE')
200336: ('BUILD_TUPLE', 'CALL_FUNCTION')
200306: ('FOR_ITER', 'LOAD_CONST')
200271: ('BUILD_LIST', 'STORE_FAST')
200264: ('LOAD_DEREF', 'LOAD_GLOBAL')
200234: ('BINARY_SUBSCR', 'DUP_TOP')
200230: ('LOAD_ATTR', 'JUMP_IF_TRUE_OR_POP')
200227: ('JUMP_IF_TRUE_OR_POP', 'CALL_FUNCTION')
200225: ('STORE_ATTR', 'JUMP_FORWARD')
200207: ('UNARY_NOT', 'JUMP_IF_FALSE_OR_POP')
200207: ('CONTAINS_OP', 'RETURN_VALUE')
200199: ('LOAD_CONST', 'IMPORT_NAME')
200190: ('LOAD_ATTR', 'UNARY_NOT')
200190: ('JUMP_IF_FALSE_OR_POP', 'LOAD_DEREF')
200183: ('STORE_SUBSCR', 'SETUP_FINALLY')
200163: ('LOAD_ATTR', 'POP_JUMP_IF_FALSE')
200157: ('CALL_FUNCTION_KW', 'RETURN_VALUE')
200155: ('LOAD_CONST', 'LOAD_METHOD')
200122: ('MAKE_FUNCTION', 'STORE_FAST')
200111: ('LOAD_FAST', 'IS_OP')
200105: ('LOAD_CONST', 'INPLACE_ADD')
200097: ('STORE_SUBSCR', 'POP_BLOCK')
200095: ('STORE_FAST', 'POP_EXCEPT')
200091: ('IMPORT_NAME', 'IMPORT_FROM')
200086: ('SETUP_FINALLY', 'SETUP_FINALLY')
200086: ('CALL_METHOD', 'LOAD_GLOBAL')
200085: ('INPLACE_ADD', 'ROT_TWO')
200085: ('INPLACE_SUBTRACT', 'ROT_TWO')
200085: ('DELETE_SUBSCR', 'LOAD_CONST')
200085: ('LOAD_CONST', 'INPLACE_SUBTRACT')
200079: ('DELETE_SUBSCR', 'POP_BLOCK')
200077: ('CONTAINS_OP', 'STORE_FAST')
200063: ('LOAD_ATTR', 'DUP_TOP')
200056: ('FOR_ITER', 'LOAD_GLOBAL')
200045: ('CALL_FUNCTION', 'DUP_TOP')
200041: ('POP_EXCEPT', 'LOAD_CONST')
200035: ('SETUP_FINALLY', 'LOAD_CONST')
200033: ('POP_JUMP_IF_TRUE', 'LOAD_CONST')
200019: ('CALL_FUNCTION_KW', 'RAISE_VARARGS')
200017: ('CALL_FUNCTION_EX', 'POP_TOP')
200013: ('STORE_FAST', 'POP_TOP')
200006: ('JUMP_FORWARD', 'JUMP_FORWARD')
200005: ('POP_JUMP_IF_TRUE', 'RERAISE')
200004: ('WITH_EXCEPT_START', 'POP_JUMP_IF_TRUE')
200004: ('CALL_FUNCTION', 'WITH_EXCEPT_START')
200001: ('POP_TOP', 'STORE_FAST')
200001: ('POP_BLOCK', 'POP_EXCEPT')
200001: ('IMPORT_FROM', 'DUP_TOP')
200001: ('POP_JUMP_IF_FALSE', 'POP_EXCEPT')
