122434: ('LIST_APPEND', 'JUMP_ABSOLUTE')
119054: ('GET_ITER', 'CALL_FUNCTION')
119054: ('LOAD_FAST', 'FOR_ITER')
115307: ('MAKE_FUNCTION', 'LOAD_FAST')
114487: ('STORE_FAST', 'LOAD_CONST')
110760: ('JUMP_IF_NOT_EXC_MATCH', 'POP_TOP')
110744: ('DUP_TOP', 'LOAD_GLOBAL')
107074: ('BUILD_LIST', 'LOAD_FAST')
106097: ('JUMP_FORWARD', 'LOAD_CONST')
105703: ('DICT_MERGE', 'CALL_FUNCTION_EX')
104800: ('BUILD_TUPLE', 'CALL_FUNCTION')
104668: ('LOAD_FAST', 'BINARY_ADD')
102703: ('LOAD_FAST', 'DICT_MERGE')
101981: ('LOAD_CONST', 'DUP_TOP')
101452: ('COMPARE_OP', 'POP_JUMP_IF_TRUE')
99564: ('CALL_FUNCTION_EX', 'RETURN_VALUE')
99034: ('BINARY_ADD', 'RETURN_VALUE')
98846: ('LOAD_GLOBAL', 'IS_OP')
96208: ('POP_JUMP_IF_TRUE', 'LOAD_CONST')
95695: ('LOAD_GLOBAL', 'JUMP_IF_NOT_EXC_MATCH')
94311: ('BUILD_TUPLE', 'LOAD_FAST')
92160: ('LOAD_GLOBAL', 'COMPARE_OP')
91668: ('SETUP_WITH', 'POP_TOP')
91658: ('POP_BLOCK', 'LOAD_CONST')
91023: ('POP_TOP', 'JUMP_FORWARD')
90538: ('<0>', 'BUILD_LIST')
90357: ('SETUP_FINALLY', 'LOAD_GLOBAL')
89275: ('CALL_FUNCTION', 'LOAD_GLOBAL')
88856: ('DUP_TOP', 'DUP_TOP')
88856: ('DUP_TOP', 'CALL_FUNCTION')
88340: ('BUILD_LIST', 'STORE_FAST')
87690: ('LOAD_CONST', 'LOAD_METHOD')
85777: ('INPLACE_ADD', 'STORE_FAST')
85277: ('COMPARE_OP', 'EXTENDED_ARG')
84603: ('LOAD_ATTR', 'SETUP_WITH')
84523: ('LOAD_FAST', 'CALL_FUNCTION_EX')
82725: ('BINARY_SUBSCR', 'GET_ITER')
81000: ('COMPARE_OP', 'LIST_APPEND')
79784: ('LOAD_ATTR', 'GET_ITER')
78432: ('<0>', 'LOAD_CONST')
78312: ('BINARY_SUBSCR', 'LOAD_GLOBAL')
76685: ('EXTENDED_ARG', 'POP_JUMP_IF_TRUE')
75879: ('STORE_SUBSCR', 'LOAD_CONST')
75583: ('LOAD_FAST', 'INPLACE_ADD')
75322: ('BINARY_ADD', 'LOAD_FAST')
75021: ('BUILD_TUPLE', 'BINARY_ADD')
75000: ('CALL_METHOD', 'STORE_SUBSCR')
73070: ('BINARY_ADD', 'BUILD_SLICE')
72995: ('CALL_FUNCTION', 'UNPACK_SEQUENCE')
72256: ('CALL_FUNCTION_KW', 'STORE_FAST')
71209: ('BUILD_TUPLE', 'RETURN_VALUE')
70379: ('FOR_ITER', 'RETURN_VALUE')
69682: ('LOAD_FAST', 'DUP_TOP')
69487: ('LOAD_FAST', 'UNPACK_SEQUENCE')
69057: ('LOAD_FAST', 'YIELD_VALUE')
68827: ('LOAD_ATTR', 'LOAD_GLOBAL')
68325: ('BINARY_SUBSCR', 'RETURN_VALUE')
66449: ('POP_TOP', 'LOAD_GLOBAL')
62224: ('LOAD_METHOD', 'LOAD_GLOBAL')
62056: ('POP_BLOCK', 'RETURN_VALUE')
61348: ('CALL_FUNCTION', 'GET_ITER')
60307: ('CALL_FUNCTION_EX', 'POP_TOP')
60093: ('LOAD_FAST', 'JUMP_IF_TRUE_OR_POP')
59846: ('POP_JUMP_IF_FALSE', 'SETUP_FINALLY')
59305: ('JUMP_FORWARD', 'LOAD_GLOBAL')
58222: ('BINARY_SUBSCR', 'DUP_TOP')
58203: ('POP_TOP', 'RETURN_VALUE')
57991: ('LOAD_FAST', 'BUILD_LIST')
57331: ('CALL_METHOD', 'CALL_FUNCTION')
57110: ('STORE_FAST', 'SETUP_FINALLY')
56371: ('CALL_METHOD', 'LOAD_CONST')
55993: ('LOAD_GLOBAL', 'CONTAINS_OP')
55278: ('POP_TOP', 'POP_EXCEPT')
54602: ('ROT_TWO', 'STORE_ATTR')
54602: ('DUP_TOP', 'LOAD_ATTR')
54564: ('BINARY_SUBSCR', 'LOAD_METHOD')
54125: ('BUILD_TUPLE', 'BUILD_MAP')
51042: ('CALL_METHOD', 'LOAD_METHOD')
50259: ('LOAD_ATTR', 'COMPARE_OP')
49415: ('IS_OP', 'POP_JUMP_IF_TRUE')
48613: ('LOAD_CONST', 'INPLACE_ADD')
48419: ('LOAD_GLOBAL', 'GET_ITER')
47246: ('LOAD_ATTR', 'RETURN_VALUE')
47102: ('FOR_ITER', 'LOAD_GLOBAL')
46538: ('CALL_FUNCTION', 'LOAD_METHOD')
45301: ('INPLACE_ADD', 'ROT_TWO')
45184: ('LOAD_ATTR', 'POP_JUMP_IF_TRUE')
45013: ('JUMP_FORWARD', 'STORE_FAST')
44279: ('LOAD_FAST', 'STORE_FAST')
43297: ('LOAD_CONST', 'CONTAINS_OP')
43105: ('LOAD_ATTR', 'CALL_METHOD')
42971: ('CALL_FUNCTION', 'BUILD_TUPLE')
42442: ('BINARY_ADD', 'STORE_FAST')
40624: ('LOAD_CONST', 'LOAD_GLOBAL')
39483: ('POP_BLOCK', 'ROT_TWO')
39454: ('POP_EXCEPT', 'JUMP_FORWARD')
39244: ('LOAD_DEREF', 'LOAD_ATTR')
39021: ('LOAD_FAST', 'POP_BLOCK')
38611: ('LOAD_FAST', 'IS_OP')
38406: ('STORE_FAST', 'JUMP_FORWARD')
36461: ('ROT_TWO', 'LOAD_CONST')
36189: ('LOAD_GLOBAL', 'POP_JUMP_IF_FALSE')
36137: ('CALL_METHOD', 'CALL_METHOD')
36111: ('STORE_ATTR', 'BUILD_MAP')
36045: ('CALL_METHOD', 'BUILD_TUPLE')
34907: ('BUILD_TUPLE', 'STORE_FAST')
34805: ('CALL_FUNCTION', 'CALL_METHOD')
34041: ('POP_JUMP_IF_TRUE', 'SETUP_FINALLY')
33630: ('CALL_FUNCTION_KW', 'POP_TOP')
33018: ('BUILD_MAP', 'STORE_FAST')
32278: ('LOAD_DEREF', 'LOAD_FAST')
