9186: ('BINARY_SUBSCR', 'STORE_FAST')
9007: ('JUMP_ABSOLUTE', 'EXTENDED_ARG')
8924: ('LOAD_FAST', 'LOAD_DEREF')
8859: ('DUP_TOP', 'STORE_FAST')
8809: ('STORE_FAST', 'SETUP_FINALLY')
8680: ('BINARY_SUBSCR', 'CALL_FUNCTION')
8670: ('CALL_METHOD', 'LIST_APPEND')
8524: ('GET_ITER', 'CALL_FUNCTION')
8524: ('LOAD_FAST', 'FOR_ITER')
8459: ('CALL_METHOD', 'POP_JUMP_IF_TRUE')
8435: ('STORE_FAST', 'JUMP_FORWARD')
7962: ('CALL_FUNCTION', 'LOAD_CONST')
7926: ('STORE_FAST', 'EXTENDED_ARG')
7856: ('LOAD_DEREF', 'BINARY_SUBTRACT')
7805: ('MAKE_FUNCTION', 'LOAD_FAST')
7522: ('CALL_FUNCTION', 'JUMP_IF_FALSE_OR_POP')
7520: ('UNARY_NOT', 'YIELD_VALUE')
7520: ('COMPARE_OP', 'UNARY_NOT')
7411: ('FOR_ITER', 'LOAD_FAST')
7225: ('JUMP_FORWARD', 'LOAD_GLOBAL')
7068: ('LOAD_CONST', 'BINARY_ADD')
7022: ('POP_TOP', 'LOAD_CONST')
6929: ('BUILD_SLICE', 'BINARY_SUBSCR')
6884: ('COMPARE_OP', 'RETURN_VALUE')
6766: ('LOAD_DEREF', 'LOAD_FAST')
6761: ('LOAD_FAST', 'BINARY_MULTIPLY')
6662: ('LOAD_FAST', 'STORE_FAST')
6553: ('FOR_ITER', 'LOAD_CONST')
6454: ('<0>', 'LOAD_CONST')
6322: ('BUILD_LIST', 'LOAD_FAST')
6134: ('STORE_NAME', 'LOAD_CONST')
6103: ('LOAD_GLOBAL', 'LOAD_CONST')
5969: ('<0>', 'BUILD_LIST')
5573: ('DUP_TOP', 'ROT_THREE')
5544: ('LOAD_CONST', 'BUILD_SLICE')
5496: ('BINARY_ADD', 'STORE_FAST')
5321: ('LOAD_ATTR', 'LOAD_ATTR')
5298: ('BINARY_SUBTRACT', 'LOAD_CONST')
5296: ('EXTENDED_ARG', 'POP_JUMP_IF_TRUE')
5202: ('FOR_ITER', 'RETURN_VALUE')
4875: ('POP_JUMP_IF_FALSE', 'JUMP_FORWARD')
4716: ('JUMP_FORWARD', 'JUMP_FORWARD')
4670: ('LOAD_GLOBAL', 'DUP_TOP')
4668: ('CALL_FUNCTION', 'IS_OP')
4666: ('ROT_THREE', 'IS_OP')
4626: ('CALL_FUNCTION', 'CALL_METHOD')
4561: ('CALL_FUNCTION_KW', 'POP_TOP')
4536: ('BINARY_ADD', 'CALL_FUNCTION')
4522: ('CALL_FUNCTION', 'CALL_FUNCTION')
4027: ('CONTAINS_OP', 'EXTENDED_ARG')
4018: ('STORE_ATTR', 'JUMP_FORWARD')
3895: ('CALL_FUNCTION', 'GET_ITER')
3871: ('COMPARE_OP', 'POP_JUMP_IF_TRUE')
3818: ('LOAD_CONST', 'BINARY_POWER')
3805: ('LOAD_GLOBAL', 'BUILD_TUPLE')
3790: ('LOAD_ATTR', 'CALL_METHOD')
3760: ('BINARY_POWER', 'YIELD_VALUE')
3760: ('BINARY_SUBTRACT', 'YIELD_VALUE')
3731: ('POP_TOP', 'JUMP_FORWARD')
3707: ('BUILD_MAP', 'LOAD_FAST')
3689: ('POP_TOP', 'LOAD_GLOBAL')
3687: ('MAKE_FUNCTION', 'STORE_NAME')
3684: ('BUILD_TUPLE', 'CALL_FUNCTION')
3681: ('STORE_FAST', 'LOAD_DEREF')
3482: ('POP_JUMP_IF_FALSE', 'LOAD_DEREF')
3393: ('CALL_METHOD', 'POP_JUMP_IF_FALSE')
3339: ('LOAD_FAST', 'UNPACK_SEQUENCE')
3299: ('STORE_FAST', 'JUMP_ABSOLUTE')
3216: ('FOR_ITER', 'LOAD_GLOBAL')
3190: ('LOAD_GLOBAL', 'COMPARE_OP')
3188: ('CALL_METHOD', 'GET_ITER')
3139: ('POP_TOP', 'POP_TOP')
3111: ('CALL_FUNCTION_KW', 'RETURN_VALUE')
3092: ('LOAD_GLOBAL', 'CONTAINS_OP')
3039: ('JUMP_ABSOLUTE', 'LOAD_FAST')
3018: ('LOAD_ATTR', 'POP_JUMP_IF_FALSE')
3013: ('POP_JUMP_IF_FALSE', 'SETUP_FINALLY')
2953: ('LOAD_ATTR', 'POP_JUMP_IF_TRUE')
2857: ('CALL_METHOD', 'CALL_FUNCTION')
2850: ('DUP_TOP', 'DUP_TOP')
2850: ('DUP_TOP', 'CALL_FUNCTION')
2677: ('POP_BLOCK', 'LOAD_CONST')
2659: ('BINARY_SUBSCR', 'LOAD_CONST')
2658: ('BINARY_MULTIPLY', 'LOAD_FAST')
2636: ('BINARY_MULTIPLY', 'CALL_FUNCTION')
2631: ('SETUP_WITH', 'POP_TOP')
2567: ('CALL_METHOD', 'UNPACK_SEQUENCE')
2543: ('POP_JUMP_IF_TRUE', 'FOR_ITER')
2524: ('BUILD_TUPLE', 'RETURN_VALUE')
2448: ('STORE_FAST', 'DUP_TOP')
2372: ('LOAD_ATTR', 'CONTAINS_OP')
2359: ('BINARY_MULTIPLY', 'BINARY_ADD')
2341: ('DICT_MERGE', 'CALL_FUNCTION_EX')
2327: ('CALL_FUNCTION', 'UNPACK_SEQUENCE')
2322: ('ROT_TWO', 'STORE_FAST')
2310: ('STORE_NAME', 'LOAD_NAME')
2309: ('CALL_FUNCTION', 'LIST_APPEND')
2295: ('LOAD_FAST', 'DICT_MERGE')
2267: ('CALL_FUNCTION', 'EXTENDED_ARG')
2258: ('JUMP_FORWARD', 'LOAD_CONST')
2245: ('BUILD_MAP', 'CALL_METHOD')
2217: ('LOAD_ATTR', 'ROT_TWO')
2216: ('CALL_FUNCTION', 'YIELD_VALUE')
2213: ('LOAD_CONST', 'CONTAINS_OP')
2193: ('LOAD_FAST', 'BUILD_LIST')
2155: ('BUILD_LIST', 'STORE_FAST')
2078: ('LOAD_GLOBAL', 'STORE_FAST')
2042: ('BINARY_SUBSCR', 'RETURN_VALUE')
1997: ('GET_ITER', 'EXTENDED_ARG')
1990: ('CALL_FUNCTION_EX', 'STORE_FAST')
1948: ('LOAD_ATTR', 'GET_ITER')
1921: ('COMPARE_OP', 'JUMP_IF_FALSE_OR_POP')
1869: ('LOAD_CONST', 'BUILD_MAP')
1862: ('LOAD_FAST', 'CALL_FUNCTION_EX')
1856: ('BUILD_TUPLE', 'LOAD_CONST')
1836: ('CALL_METHOD', 'LOAD_CONST')
1833: ('FOR_ITER', 'JUMP_ABSOLUTE')
1831: ('LOAD_METHOD', 'LOAD_DEREF')
1821: ('BUILD_TUPLE', 'LOAD_FAST')
1813: ('BINARY_SUBSCR', 'UNPACK_SEQUENCE')
1753: ('LOAD_GLOBAL', 'BINARY_AND')
1738: ('LOAD_CONST', 'STORE_NAME')
1727: ('CALL_FUNCTION_EX', 'RETURN_VALUE')
1721: ('JUMP_FORWARD', 'SETUP_FINALLY')
1700: ('BUILD_MAP', 'STORE_FAST')
1680: ('CALL_FUNCTION', 'BINARY_SUBTRACT')
1656: ('LOAD_NAME', 'LOAD_NAME')
1638: ('BINARY_SUBSCR', 'DUP_TOP')
1538: ('JUMP_IF_NOT_EXC_MATCH', 'POP_TOP')
1534: ('POP_JUMP_IF_FALSE', 'JUMP_ABSOLUTE')
1532: ('DUP_TOP', 'LOAD_GLOBAL')
1528: ('BUILD_TUPLE', 'BUILD_MAP')
1495: ('CALL_FUNCTION_KW', 'STORE_FAST')
1491: ('LOAD_DEREF', 'CALL_METHOD')
1474: ('STORE_SUBSCR', 'EXTENDED_ARG')
1463: ('LOAD_CLOSURE', 'BUILD_TUPLE')
1450: ('LOAD_NAME', 'LOAD_CONST')
1439: ('LOAD_FAST', 'DELETE_SUBSCR')
1438: ('CALL_METHOD', 'LOAD_GLOBAL')
1434: ('LOAD_GLOBAL', 'GET_ITER')
1416: ('<0>', 'BUILD_MAP')
1385: ('POP_TOP', 'POP_BLOCK')
1368: ('STORE_ATTR', 'POP_BLOCK')
1359: ('CALL_METHOD', 'JUMP_IF_FALSE_OR_POP')
1325: ('LOAD_DEREF', 'LOAD_GLOBAL')
1297: ('CALL_FUNCTION', 'STORE_NAME')
1295: ('LOAD_ATTR', 'LIST_APPEND')
1241: ('JUMP_IF_FALSE_OR_POP', 'RETURN_VALUE')
1231: ('BUILD_TUPLE', 'BINARY_ADD')
1230: ('LOAD_GLOBAL', 'JUMP_IF_NOT_EXC_MATCH')
1227: ('BUILD_LIST', 'CALL_FUNCTION')
1226: ('LOAD_ATTR', 'LOAD_GLOBAL')
1222: ('LOAD_GLOBAL', 'SETUP_WITH')
1221: ('POP_JUMP_IF_FALSE', 'BUILD_MAP')
1220: ('LOAD_FAST', 'IS_OP')
1220: ('CALL_METHOD', 'COMPARE_OP')
1218: ('CALL_FUNCTION_KW', 'BINARY_ADD')
1218: ('CALL_FUNCTION_KW', 'INPLACE_ADD')
1218: ('CALL_METHOD', 'BINARY_SUBTRACT')
1217: ('BINARY_SUBTRACT', 'GET_ITER')
1217: ('BINARY_AND', 'GET_ITER')
1217: ('POP_JUMP_IF_TRUE', 'POP_BLOCK')
1217: ('CALL_FUNCTION', 'BINARY_AND')
1191: ('POP_TOP', 'SETUP_FINALLY')
1191: ('ROT_TWO', 'POP_TOP')
1160: ('LOAD_FAST', 'BUILD_MAP')
1103: ('LOAD_CONST', 'IMPORT_NAME')
1066: ('STORE_ATTR', 'LOAD_GLOBAL')
1055: ('BINARY_AND', 'POP_JUMP_IF_FALSE')
1026: ('DELETE_SUBSCR', 'JUMP_ABSOLUTE')
973: ('BINARY_SUBTRACT', 'LOAD_FAST')
972: ('LOAD_ATTR', 'JUMP_IF_TRUE_OR_POP')
964: ('JUMP_IF_TRUE_OR_POP', 'CALL_FUNCTION')
951: ('BUILD_TUPLE', 'BINARY_MODULO')
946: ('JUMP_FORWARD', 'EXTENDED_ARG')
943: ('POP_TOP', 'RETURN_VALUE')
934: ('CALL_FUNCTION', 'LOAD_ATTR')
924: ('LOAD_FAST', 'FORMAT_VALUE')
908: ('SET_ADD', 'JUMP_ABSOLUTE')
907: ('ROT_THREE', 'COMPARE_OP')
897: ('CALL_FUNCTION', 'SETUP_WITH')
882: ('STORE_SUBSCR', 'JUMP_FORWARD')
877: ('CONTAINS_OP', 'RETURN_VALUE')
872: ('BINARY_AND', 'EXTENDED_ARG')
870: ('LOAD_CONST', 'BINARY_SUBTRACT')
852: ('CALL_METHOD', 'SET_ADD')
848: ('LOAD_CONST', 'LOAD_NAME')
846: ('LOAD_DEREF', 'LOAD_DEREF')
841: ('LOAD_FAST', 'BUILD_SLICE')
815: ('LOAD_NAME', 'LOAD_ATTR')
801: ('LOAD_DEREF', 'LOAD_CONST')
796: ('LOAD_DEREF', 'CALL_FUNCTION')
793: ('FORMAT_VALUE', 'LOAD_CONST')
792: ('STORE_SUBSCR', 'LOAD_CONST')
773: ('LOAD_CONST', 'BINARY_AND')
757: ('LOAD_CONST', 'LOAD_GLOBAL')
751: ('BINARY_SUBSCR', 'LOAD_GLOBAL')
745: ('CALL_FUNCTION', 'BUILD_TUPLE')
744: ('UNARY_NOT', 'JUMP_IF_FALSE_OR_POP')
738: ('POP_BLOCK', 'LOAD_GLOBAL')
734: ('STORE_SUBSCR', 'SETUP_FINALLY')
734: ('MAKE_FUNCTION', 'STORE_FAST')
724: ('LOAD_NAME', 'CALL_FUNCTION')
716: ('LOAD_NAME', 'STORE_NAME')
712: ('CALL_FUNCTION', 'JUMP_IF_TRUE_OR_POP')
705: ('POP_TOP', 'EXTENDED_ARG')
685: ('JUMP_FORWARD', 'JUMP_ABSOLUTE')
678: ('POP_TOP', 'POP_EXCEPT')
677: ('BUILD_TUPLE', 'CALL_METHOD')
666: ('LIST_EXTEND', 'LIST_TO_TUPLE')
659: ('LOAD_CONST', 'LOAD_METHOD')
651: ('JUMP_IF_TRUE_OR_POP', 'LOAD_GLOBAL')
651: ('STORE_FAST', 'BUILD_LIST')
644: ('CALL_METHOD', 'BINARY_SUBSCR')
638: ('EXTENDED_ARG', 'SETUP_FINALLY')
637: ('BUILD_TUPLE', 'STORE_FAST')
634: ('LOAD_ATTR', 'BINARY_MULTIPLY')
633: ('LOAD_FAST', 'LIST_APPEND')
628: ('MAKE_FUNCTION', 'LOAD_GLOBAL')
620: ('BINARY_ADD', 'INPLACE_ADD')
617: ('LOAD_FAST', 'LIST_EXTEND')
613: ('POP_TOP', 'JUMP_IF_FALSE_OR_POP')
613: ('JUMP_IF_FALSE_OR_POP', 'ROT_TWO')
609: ('BINARY_MODULO', 'STORE_FAST')
602: ('LOAD_FAST', 'BINARY_MODULO')
601: ('LOAD_ATTR', 'UNARY_NOT')
598: ('MAP_ADD', 'JUMP_ABSOLUTE')
597: ('MAKE_FUNCTION', 'CALL_FUNCTION')
589: ('LOAD_FAST', 'BINARY_AND')
587: ('CALL_FUNCTION', 'POP_BLOCK')
580: ('EXTENDED_ARG', 'LOAD_CONST')
574: ('POP_EXCEPT', 'JUMP_FORWARD')
570: ('LOAD_CONST', 'EXTENDED_ARG')
