348: ('STORE_ATTR', 'POP_BLOCK')
338: ('COMPARE_OP', 'JUMP_IF_FALSE_OR_POP')
331: ('POP_TOP', 'JUMP_FORWARD')
331: ('BUILD_TUPLE', 'CONTAINS_OP')
331: ('LOAD_FAST', 'POP_JUMP_IF_TRUE')
330: ('POP_TOP', 'POP_TOP')
327: ('SETUP_WITH', 'POP_TOP')
325: ('BUILD_TUPLE', 'BINARY_MODULO')
324: ('POP_BLOCK', 'LOAD_CONST')
319: ('CALL_FUNCTION', 'POP_JUMP_IF_TRUE')
318: ('LOAD_NAME', 'LOAD_NAME')
312: ('BUILD_TUPLE', 'LOAD_CONST')
310: ('CALL_METHOD', 'POP_JUMP_IF_FALSE')
285: ('STORE_FAST', 'JUMP_FORWARD')
282: ('LOAD_DEREF', 'LOAD_FAST')
271: ('EXTENDED_ARG', 'POP_JUMP_IF_TRUE')
266: ('LOAD_ATTR', 'COMPARE_OP')
264: ('POP_TOP', 'SETUP_FINALLY')
264: ('LOAD_GLOBAL', 'LOAD_CONST')
263: ('JUMP_IF_FALSE_OR_POP', 'LOAD_FAST')
256: ('BINARY_MODULO', 'LIST_APPEND')
256: ('CALL_METHOD', 'LOAD_CONST')
254: ('LOAD_FAST', 'LIST_APPEND')
251: ('POP_TOP', 'POP_BLOCK')
247: ('LOAD_GLOBAL', 'BUILD_TUPLE')
244: ('CALL_METHOD', 'LOAD_FAST')
243: ('CALL_FUNCTION', 'LOAD_FAST')
239: ('LOAD_NAME', 'STORE_NAME')
228: ('POP_TOP', 'RETURN_VALUE')
225: ('LOAD_ATTR', 'CALL_METHOD')
217: ('LOAD_ATTR', 'CALL_FUNCTION')
210: ('LOAD_GLOBAL', 'IS_OP')
210: ('LOAD_FAST', 'STORE_FAST')
202: ('LOAD_CONST', 'BINARY_AND')
202: ('LOAD_CLOSURE', 'BUILD_TUPLE')
201: ('BUILD_TUPLE', 'CALL_FUNCTION')
201: ('LOAD_DEREF', 'LOAD_GLOBAL')
200: ('POP_TOP', 'LOAD_NAME')
198: ('CALL_FUNCTION', 'LOAD_METHOD')
196: ('CALL_FUNCTION', 'SETUP_WITH')
194: ('CALL_FUNCTION', 'CALL_FUNCTION')
192: ('BINARY_SUBSCR', 'LOAD_FAST')
190: ('BINARY_SUBSCR', 'DUP_TOP')
186: ('COMPARE_OP', 'EXTENDED_ARG')
185: ('BUILD_MAP', 'LOAD_FAST')
183: ('STORE_FAST', 'LOAD_DEREF')
182: ('POP_BLOCK', 'LOAD_GLOBAL')
179: ('CALL_FUNCTION', 'LOAD_ATTR')
178: ('POP_TOP', 'LOAD_GLOBAL')
177: ('LOAD_ATTR', 'RETURN_VALUE')
173: ('FOR_ITER', 'LOAD_FAST')
172: ('LOAD_ATTR', 'GET_ITER')
170: ('FOR_ITER', 'LOAD_CONST')
168: ('<0>', 'POP_TOP')
163: ('JUMP_IF_NOT_EXC_MATCH', 'POP_TOP')
163: ('LOAD_FAST', 'DICT_MERGE')
163: ('DICT_MERGE', 'CALL_FUNCTION_EX')
160: ('DUP_TOP', 'LOAD_GLOBAL')
158: ('ROT_TWO', 'POP_TOP')
153: ('POP_JUMP_IF_FALSE', 'LOAD_DEREF')
150: ('JUMP_FORWARD', 'SETUP_FINALLY')
149: ('BINARY_SUBSCR', 'CALL_FUNCTION')
148: ('MAKE_FUNCTION', 'LOAD_CONST')
147: ('<0>', 'LOAD_NAME')
147: ('LOAD_BUILD_CLASS', 'LOAD_CONST')
147: ('MAP_ADD', 'JUMP_ABSOLUTE')
145: ('LOAD_CONST', 'IMPORT_NAME')
144: ('JUMP_FORWARD', 'LOAD_CONST')
142: ('POP_JUMP_IF_FALSE', 'JUMP_ABSOLUTE')
141: ('LOAD_FAST', 'BUILD_LIST')
139: ('LOAD_NAME', 'CALL_FUNCTION')
138: ('STORE_SUBSCR', 'SETUP_FINALLY')
138: ('LOAD_NAME', 'LOAD_ATTR')
137: ('CONTAINS_OP', 'RETURN_VALUE')
137: ('LOAD_FAST', 'DELETE_SUBSCR')
131: ('MAKE_FUNCTION', 'CALL_FUNCTION')
129: ('UNARY_NOT', 'JUMP_IF_FALSE_OR_POP')
129: ('LOAD_ATTR', 'JUMP_IF_TRUE_OR_POP')
128: ('JUMP_IF_TRUE_OR_POP', 'CALL_FUNCTION')
127: ('LOAD_CONST', 'LOAD_NAME')
127: ('LOAD_ATTR', 'UNARY_NOT')
127: ('JUMP_IF_FALSE_OR_POP', 'LOAD_DEREF')
126: ('STORE_SUBSCR', 'LOAD_FAST')
125: ('LOAD_ATTR', 'SETUP_WITH')
124: ('ROT_TWO', 'STORE_ATTR')
124: ('DUP_TOP', 'LOAD_ATTR')
124: ('BINARY_ADD', 'STORE_FAST')
124: ('STORE_NAME', 'LOAD_BUILD_CLASS')
124: ('LOAD_FAST', 'DUP_TOP')
124: ('CALL_FUNCTION_EX', 'RETURN_VALUE')
122: ('LOAD_ATTR', 'POP_JUMP_IF_FALSE')
120: ('STORE_SUBSCR', 'LOAD_CONST')
120: ('LOAD_ATTR', 'STORE_SUBSCR')
120: ('CONTAINS_OP', 'EXTENDED_ARG')
118: ('STORE_ATTR', 'LOAD_GLOBAL')
118: ('LOAD_GLOBAL', 'JUMP_IF_NOT_EXC_MATCH')
116: ('BUILD_LIST', 'STORE_FAST')
115: ('CALL_FUNCTION_KW', 'RETURN_VALUE')
114: ('ROT_THREE', 'COMPARE_OP')
114: ('DUP_TOP', 'ROT_THREE')
112: ('LOAD_GLOBAL', 'LOAD_CLOSURE')
110: ('POP_EXCEPT', 'JUMP_FORWARD')
108: ('LOAD_FAST', 'LOAD_DEREF')
108: ('LOAD_DEREF', 'LOAD_CONST')
102: ('COMPARE_OP', 'RETURN_VALUE')
101: ('MAKE_FUNCTION', 'STORE_FAST')
100: ('BUILD_TUPLE', 'RETURN_VALUE')
100: ('CALL_METHOD', 'UNPACK_SEQUENCE')
98: ('POP_BLOCK', 'ROT_TWO')
98: ('CALL_FUNCTION', 'POP_BLOCK')
95: ('IMPORT_FROM', 'STORE_NAME')
94: ('COMPARE_OP', 'JUMP_FORWARD')
94: ('JUMP_FORWARD', 'JUMP_IF_FALSE_OR_POP')
94: ('JUMP_IF_FALSE_OR_POP', 'LOAD_CONST')
93: ('LOAD_CONST', 'BUILD_CONST_KEY_MAP')
92: ('LOAD_FAST', 'ROT_TWO')
90: ('ROT_TWO', 'LOAD_CONST')
90: ('LOAD_DEREF', 'LOAD_METHOD')
87: ('CALL_FUNCTION', 'EXTENDED_ARG')
86: ('<0>', 'SETUP_FINALLY')
86: ('LOAD_CONST', 'BINARY_ADD')
84: ('BUILD_LIST', 'CALL_METHOD')
83: ('LOAD_FAST', 'BUILD_MAP')
83: ('CALL_FUNCTION', 'UNPACK_SEQUENCE')
81: ('LOAD_CONST', 'LOAD_METHOD')
81: ('MAKE_FUNCTION', 'LOAD_GLOBAL')
80: ('LOAD_GLOBAL', 'CONTAINS_OP')
79: ('LOAD_FAST', 'BUILD_SLICE')
78: ('BINARY_ADD', 'LOAD_CONST')
77: ('JUMP_IF_FALSE_OR_POP', 'RETURN_VALUE')
76: ('STORE_SUBSCR', 'POP_BLOCK')
76: ('LOAD_NAME', 'LOAD_METHOD')
76: ('LOAD_GLOBAL', 'GET_ITER')
75: ('BINARY_SUBSCR', 'BUILD_TUPLE')
75: ('BINARY_SUBSCR', 'LOAD_DEREF')
75: ('CALL_METHOD', 'YIELD_VALUE')
74: ('STORE_FAST', 'POP_EXCEPT')
73: ('BINARY_SUBSCR', 'BINARY_ADD')
73: ('LOAD_FAST', 'MAP_ADD')
73: ('CALL_FUNCTION', 'LIST_APPEND')
72: ('IMPORT_NAME', 'STORE_NAME')
72: ('LOAD_FAST', 'JUMP_FORWARD')
70: ('BINARY_AND', 'COMPARE_OP')
70: ('LOAD_FAST', 'IS_OP')
69: ('BINARY_MODULO', 'STORE_FAST')
69: ('CALL_FUNCTION_EX', 'STORE_FAST')
