2395: ('LOAD_FAST', 'COMPARE_OP')
2316: ('FOR_ITER', 'RETURN_VALUE')
2309: ('LOAD_ATTR', 'LOAD_ATTR')
2178: ('LOAD_FAST', 'BINARY_SUBSCR')
2172: ('BINARY_ADD', 'LOAD_FAST')
2165: ('LOAD_GLOBAL', 'IS_OP')
2129: ('POP_TOP', 'LOAD_CONST')
2126: ('JUMP_FORWARD', 'LOAD_GLOBAL')
1973: ('BINARY_SUBSCR', 'STORE_FAST')
1937: ('CALL_FUNCTION', 'CALL_METHOD')
1891: ('LOAD_CONST', 'STORE_FAST')
1820: ('LOAD_ATTR', 'LOAD_METHOD')
1660: ('LOAD_FAST', 'STORE_SUBSCR')
1619: ('BUILD_SLICE', 'BINARY_SUBSCR')
1615: ('POP_JUMP_IF_TRUE', 'LOAD_GLOBAL')
1608: ('IS_OP', 'EXTENDED_ARG')
1547: ('COMPARE_OP', 'EXTENDED_ARG')
1402: ('LOAD_FAST', 'LOAD_DEREF')
1393: ('CALL_FUNCTION', 'RETURN_VALUE')
1362: ('LOAD_CONST', 'BINARY_ADD')
1354: ('CALL_FUNCTION_KW', 'POP_TOP')
1349: ('LOAD_DEREF', 'LOAD_FAST')
1332: ('BINARY_ADD', 'CALL_FUNCTION')
1260: ('LOAD_FAST', 'BUILD_TUPLE')
1259: ('BUILD_TUPLE', 'LOAD_CONST')
1243: ('POP_TOP', 'JUMP_FORWARD')
1201: ('LOAD_CONST', 'BUILD_SLICE')
1174: ('CALL_METHOD', 'POP_JUMP_IF_FALSE')
1124: ('CALL_FUNCTION', 'POP_JUMP_IF_TRUE')
1096: ('LOAD_ATTR', 'COMPARE_OP')
1096: ('LOAD_ATTR', 'CALL_FUNCTION')
1092: ('BINARY_SUBSCR', 'LOAD_FAST')
1074: ('LOAD_FAST', 'POP_JUMP_IF_TRUE')
1043: ('LOAD_FAST', 'EXTENDED_ARG')
1039: ('LOAD_CLOSURE', 'BUILD_TUPLE')
1027: ('LOAD_FAST', 'LIST_APPEND')
971: ('LOAD_GLOBAL', 'LOAD_CONST')
921: ('POP_JUMP_IF_FALSE', 'SETUP_FINALLY')
918: ('POP_TOP', 'POP_TOP')
909: ('FOR_ITER', 'LOAD_FAST')
905: ('LOAD_CONST', 'DUP_TOP')
895: ('CONTAINS_OP', 'EXTENDED_ARG')
886: ('LOAD_NAME', 'LOAD_NAME')
864: ('LOAD_FAST', 'IS_OP')
863: ('CALL_FUNCTION', 'STORE_NAME')
857: ('LOAD_CONST', 'CONTAINS_OP')
843: ('DUP_TOP', 'DUP_TOP')
843: ('DUP_TOP', 'CALL_FUNCTION')
840: ('LOAD_NAME', 'LOAD_CONST')
834: ('BINARY_SUBSCR', 'LOAD_CONST')
825: ('LOAD_DEREF', 'IS_OP')
805: ('COMPARE_OP', 'POP_JUMP_IF_TRUE')
802: ('LOAD_GLOBAL', 'CONTAINS_OP')
785: ('STORE_FAST', 'JUMP_FORWARD')
775: ('SETUP_WITH', 'POP_TOP')
770: ('POP_BLOCK', 'LOAD_CONST')
754: ('EXTENDED_ARG', 'POP_JUMP_IF_TRUE')
713: ('STORE_ATTR', 'POP_BLOCK')
706: ('POP_JUMP_IF_FALSE', 'JUMP_ABSOLUTE')
697: ('CALL_METHOD', 'LOAD_CONST')
696: ('STORE_FAST', 'LOAD_DEREF')
689: ('LOAD_ATTR', 'GET_ITER')
679: ('SET_ADD', 'JUMP_ABSOLUTE')
676: ('CALL_FUNCTION', 'LOAD_METHOD')
661: ('CALL_METHOD', 'SET_ADD')
631: ('JUMP_FORWARD', 'LOAD_CONST')
630: ('JUMP_ABSOLUTE', 'LOAD_FAST')
624: ('POP_TOP', 'POP_BLOCK')
603: ('POP_TOP', 'SETUP_FINALLY')
578: ('POP_TOP', 'RETURN_VALUE')
575: ('BUILD_LIST', 'STORE_FAST')
574: ('EXTENDED_ARG', 'JUMP_ABSOLUTE')
562: ('LOAD_GLOBAL', 'BUILD_TUPLE')
553: ('BUILD_MAP', 'LOAD_FAST')
553: ('CALL_METHOD', 'LOAD_FAST')
537: ('JUMP_IF_FALSE_OR_POP', 'LOAD_FAST')
535: ('LOAD_GLOBAL', 'BINARY_AND')
535: ('LOAD_FAST', 'STORE_FAST')
525: ('BUILD_TUPLE', 'CALL_FUNCTION')
522: ('COMPARE_OP', 'JUMP_IF_FALSE_OR_POP')
521: ('LOAD_CONST', 'IMPORT_NAME')
518: ('EXTENDED_ARG', 'FOR_ITER')
512: ('BINARY_SUBSCR', 'CALL_FUNCTION')
489: ('BINARY_ADD', 'STORE_FAST')
486: ('ROT_TWO', 'POP_TOP')
473: ('STORE_SUBSCR', 'JUMP_ABSOLUTE')
470: ('LOAD_ATTR', 'CALL_METHOD')
465: ('BUILD_TUPLE', 'BINARY_MODULO')
461: ('CALL_FUNCTION', 'LIST_APPEND')
460: ('LOAD_FAST', 'BUILD_LIST')
458: ('POP_BLOCK', 'LOAD_GLOBAL')
455: ('MAP_ADD', 'JUMP_ABSOLUTE')
453: ('<0>', 'POP_TOP')
452: ('BINARY_SUBSCR', 'RETURN_VALUE')
445: ('BINARY_AND', 'POP_JUMP_IF_FALSE')
442: ('STORE_SUBSCR', 'LOAD_FAST')
442: ('LOAD_GLOBAL', 'STORE_FAST')
436: ('JUMP_IF_NOT_EXC_MATCH', 'POP_TOP')
435: ('BINARY_SUBSCR', 'DUP_TOP')
433: ('LOAD_CONST', 'BINARY_AND')
433: ('LOAD_ATTR', 'POP_JUMP_IF_FALSE')
430: ('DUP_TOP', 'LOAD_GLOBAL')
426: ('CALL_FUNCTION', 'EXTENDED_ARG')
420: ('LOAD_FAST', 'BUILD_SLICE')
419: ('CONTAINS_OP', 'RETURN_VALUE')
419: ('CALL_FUNCTION', 'SETUP_WITH')
412: ('LOAD_DEREF', 'LOAD_GLOBAL')
398: ('LOAD_CONST', 'LOAD_NAME')
385: ('STORE_FAST', 'LOAD_CLOSURE')
381: ('IMPORT_FROM', 'STORE_NAME')
379: ('LOAD_GLOBAL', 'JUMP_IF_NOT_EXC_MATCH')
372: ('POP_JUMP_IF_FALSE', 'LOAD_DEREF')
368: ('STORE_SUBSCR', 'LOAD_CONST')
354: ('JUMP_ABSOLUTE', 'EXTENDED_ARG')
354: ('LOAD_FAST', 'DELETE_SUBSCR')
343: ('LOAD_FAST', 'DICT_MERGE')
343: ('DICT_MERGE', 'CALL_FUNCTION_EX')
341: ('LOAD_NAME', 'LOAD_ATTR')
340: ('LOAD_FAST', 'DUP_TOP')
339: ('LOAD_ATTR', 'SETUP_WITH')
338: ('LOAD_ATTR', 'JUMP_IF_TRUE_OR_POP')
337: ('STORE_SUBSCR', 'SETUP_FINALLY')
337: ('JUMP_IF_TRUE_OR_POP', 'CALL_FUNCTION')
327: ('IMPORT_NAME', 'IMPORT_FROM')
326: ('<0>', 'SETUP_FINALLY')
326: ('LOAD_DEREF', 'LOAD_CONST')
326: ('CALL_METHOD', 'GET_ITER')
320: ('LOAD_FAST', 'BINARY_SUBTRACT')
316: ('STORE_NAME', 'LOAD_BUILD_CLASS')
304: ('STORE_NAME', 'POP_TOP')
304: ('BUILD_TUPLE', 'CONTAINS_OP')
299: ('MAKE_FUNCTION', 'CALL_FUNCTION')
